Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,CouncilCount,Price_per_sqm
Bellfield,20 Davidson St,3,h,773000.0,S,Nelson,6/08/2016,9.5,3081.0,3.0,1.0,2.0,626.0,93.0,1955.0,Abbotsford,-37.752,145.0367,Eastern Metropolitan,790.0,627,1075.1043115438108
Bellfield,40 Plunkett St,3,h,885000.0,S,Nelson,12/11/2016,9.5,3081.0,3.0,1.0,1.0,666.0,109.0,1960.0,Abbotsford,-37.7509,145.0423,Eastern Metropolitan,790.0,627,1141.9354838709678
Bellfield,8 Erica Ct,3,h,770000.0,S,Haughton,16/04/2016,9.5,3081.0,3.0,1.0,4.0,762.0,109.0,1960.0,Abbotsford,-37.7529,145.0406,Eastern Metropolitan,790.0,627,884.0413318025259
Bellfield,353 Waterdale Rd,2,h,855000.0,S,Barry,18/03/2017,9.5,3081.0,2.0,1.0,0.0,693.0,109.0,1960.0,Abbotsford,-37.7534,145.0454,Eastern Metropolitan,790.0,627,1066.0847880299252
Bellfield,305 Bell St,3,h,645000.0,SP,Nelson,22/05/2016,9.5,3081.0,3.0,1.0,2.0,631.0,109.0,1950.0,Abbotsford,-37.7506,145.043,Eastern Metropolitan,790.0,627,871.6216216216217
Bellfield,2/2 Harrison St,3,h,720000.0,SP,McGrath,25/02/2017,9.5,3081.0,3.0,2.0,1.0,231.0,145.0,2012.0,Abbotsford,-37.7527,145.0392,Eastern Metropolitan,790.0,627,1914.8936170212767
Bellfield,129 Liberty Pde,3,h,625000.0,PI,Nelson,28/05/2016,9.5,3081.0,3.0,1.0,2.0,609.0,93.0,1950.0,Abbotsford,-37.7504,145.0335,Eastern Metropolitan,790.0,627,890.3133903133903
Bellfield,345 Waterdale Rd,3,h,1110000.0,S,Haughton,6/05/2017,9.5,3081.0,3.0,1.0,2.0,730.0,109.0,1960.0,Abbotsford,-37.754,145.0453,Eastern Metropolitan,790.0,627,1323.0035756853397
Bellfield,125 Oriel Rd,3,h,894000.0,S,Ray,8/04/2017,9.5,3081.0,3.0,2.0,3.0,601.0,101.51,1950.0,Abbotsford,-37.7524,145.0393,Eastern Metropolitan,790.0,627,1272.579749754452
Bellfield,2 Erica Ct,2,h,736500.0,SP,Miles,27/05/2017,8.8,3081.0,2.0,1.0,1.0,271.0,145.0,2012.0,Abbotsford,-37.75329,145.04058999999995,Eastern Metropolitan,790.0,627,1770.4326923076924
Bellfield,124 Oriel Rd,3,h,780000.0,PI,Haughton,27/05/2017,8.8,3081.0,3.0,1.0,2.0,680.0,109.0,1960.0,Abbotsford,-37.75255,145.03972,Eastern Metropolitan,790.0,627,988.5931558935362
Bellfield,4 Erica Ct,3,h,1006000.0,S,Barry,12/08/2017,8.8,3081.0,3.0,1.0,0.0,758.0,109.0,1960.0,Abbotsford,-37.75315,145.04062,Eastern Metropolitan,790.0,627,1160.3229527104959
Bellfield,9 Sullivan St,2,h,906000.0,S,Miles,22/07/2017,8.8,3081.0,2.0,1.0,1.0,617.0,109.98,1960.0,Abbotsford,-37.7528,145.04443999999995,Eastern Metropolitan,790.0,627,1246.251616275551
Bellfield,5 Davidson St,4,h,951000.0,S,Miles,26/08/2017,8.8,3081.0,4.0,1.0,1.0,654.0,109.0,1960.0,Abbotsford,-37.75399,145.03606000000005,Eastern Metropolitan,790.0,627,1246.3958060288335
Briar Hill,31A Beaconsfield Rd,3,h,840000.0,S,Barry,1/07/2017,16.1,3088.0,3.0,1.0,2.0,509.0,120.0,2000.0,Abbotsford,-37.70822,145.11495,Eastern Metropolitan,1390.0,627,1335.4531001589826
Briar Hill,1A Campbell Rd,2,h,710500.0,S,Barry,17/06/2017,16.1,3088.0,2.0,1.0,1.0,598.0,110.0,1985.0,Abbotsford,-37.70681,145.11731,Eastern Metropolitan,1390.0,627,1003.5310734463277
Briar Hill,1/4 Box Rd,3,h,590000.0,S,Barry,27/05/2017,16.1,3088.0,3.0,1.0,2.0,392.0,120.0,2000.0,Abbotsford,-37.70433,145.12184,Eastern Metropolitan,1390.0,627,1152.34375
Briar Hill,31 Boyce Av,3,h,830000.0,S,Buckingham,12/08/2017,16.1,3088.0,3.0,1.0,2.0,905.0,183.0,1962.0,Abbotsford,-37.7063,145.12215,Eastern Metropolitan,1390.0,627,762.8676470588235
Briar Hill,77 Karingal Dr,4,h,1030000.0,S,Nelson,26/08/2017,16.1,3088.0,4.0,3.0,3.0,1061.0,312.0,1960.0,Abbotsford,-37.70591,145.13005,Eastern Metropolitan,1390.0,627,750.1820830298616
Bundoora,28 Greenwood Dr,3,h,805000.0,S,Barry,1/07/2017,12.1,3083.0,3.0,1.0,2.0,669.0,268.0,2015.0,Abbotsford,-37.70834,145.05424,Northern Metropolitan,10175.0,627,859.1248665955176
Bundoora,533 Grimshaw St,3,h,682000.0,S,Ray,1/07/2017,12.1,3083.0,3.0,1.0,1.0,583.0,119.0,1970.0,Abbotsford,-37.70074,145.0648,Northern Metropolitan,10175.0,627,971.5099715099715
Bundoora,44 Milton Pde,3,h,780000.0,S,Barry,3/06/2017,12.1,3083.0,3.0,1.0,1.0,546.0,120.0,1980.0,Abbotsford,-37.69388,145.06463,Northern Metropolitan,10175.0,627,1171.1711711711712
Bundoora,50 Cameron Pde,3,h,687000.0,S,Ray,17/06/2017,12.1,3083.0,3.0,1.0,3.0,559.0,120.0,1970.0,Abbotsford,-37.69849,145.06705,Northern Metropolitan,10175.0,627,1011.7820324005891
Bundoora,5 Cole Ct,4,h,769000.0,S,Barry,24/06/2017,12.1,3083.0,4.0,2.0,2.0,662.0,268.0,2015.0,Abbotsford,-37.69582,145.07639,Northern Metropolitan,10175.0,627,826.8817204301075
Bundoora,33 Jacqueline Rd,3,h,690000.0,PI,Nelson,24/06/2017,12.1,3083.0,3.0,1.0,2.0,513.0,132.0,2004.0,Abbotsford,-37.69548,145.07377,Northern Metropolitan,10175.0,627,1069.7674418604652
Bundoora,15 Bent St,3,h,714000.0,S,Barry,27/05/2017,12.1,3083.0,3.0,1.0,2.0,412.0,132.0,2006.0,Abbotsford,-37.6993,145.06193000000005,Northern Metropolitan,10175.0,627,1312.5
Bundoora,12 Norwood Ct,3,h,730000.0,S,Barry,8/07/2017,12.1,3083.0,3.0,1.0,1.0,612.0,101.0,1960.0,Abbotsford,-37.70602,145.05945,Northern Metropolitan,10175.0,627,1023.8429172510519
Bundoora,71 Wallara Cr,3,h,660000.0,S,Buckingham,8/07/2017,12.1,3083.0,3.0,1.0,2.0,582.0,119.0,1970.0,Abbotsford,-37.70301,145.06341,Northern Metropolitan,10175.0,627,941.5121255349501
Bundoora,27 Norfolk Cr,3,h,710000.0,S,Darren,15/07/2017,12.1,3083.0,3.0,1.0,1.0,540.0,142.0,1968.0,Abbotsford,-37.70636,145.05462,Northern Metropolitan,10175.0,627,1041.0557184750733
Bundoora,22 Alma Rd,4,h,800000.0,SP,Ray,22/07/2017,12.1,3083.0,4.0,1.0,1.0,535.0,132.0,1977.0,Abbotsford,-37.69847,145.0601,Northern Metropolitan,10175.0,627,1199.400299850075
Bundoora,43 Cheadle Cr,5,h,999000.0,S,Ray,22/07/2017,12.1,3083.0,5.0,2.0,2.0,627.0,268.0,1991.0,Abbotsford,-37.69264,145.0799,Northern Metropolitan,10175.0,627,1116.2011173184358
Bundoora,398 Grimshaw St,3,h,680000.0,S,Barry,22/07/2017,12.1,3083.0,3.0,1.0,3.0,539.0,142.0,1968.0,Abbotsford,-37.7015,145.07548,Northern Metropolitan,10175.0,627,998.5315712187959
Bundoora,1188 Plenty Rd,3,h,715000.0,SP,Stockdale,3/09/2017,12.1,3083.0,3.0,1.0,1.0,541.0,120.0,1960.0,Abbotsford,-37.70603,145.05423000000005,Northern Metropolitan,10175.0,627,1081.694402420575
Bundoora,1 Oxford Dr,4,h,730000.0,S,Ray,16/09/2017,12.1,3083.0,4.0,2.0,2.0,538.0,144.0,1970.0,Abbotsford,-37.7002,145.06517,Northern Metropolitan,10175.0,627,1070.3812316715544
Eaglemont,6 Ashby Gr,5,h,1901000.0,S,Nelson,10/09/2016,10.3,3084.0,3.0,2.0,2.0,963.0,225.0,1925.0,Abbotsford,-37.7674,145.0518,Eastern Metropolitan,1651.0,627,1600.1683501683501
Eaglemont,27 Glen Dr,3,h,1816000.0,S,Nelson,12/11/2016,10.3,3084.0,3.0,1.0,2.0,846.0,180.0,1955.0,Abbotsford,-37.7666,145.0591,Eastern Metropolitan,1651.0,627,1769.9805068226121
Eaglemont,61 Glenard Dr,4,h,2050000.0,S,Miles,15/10/2016,10.3,3084.0,4.0,3.0,2.0,723.0,290.0,1950.0,Abbotsford,-37.7615,145.0705,Eastern Metropolitan,1651.0,627,2023.6920039486674
Eaglemont,47 Ormond Rd,5,h,1930000.0,S,Miles,15/10/2016,10.3,3084.0,5.0,2.0,1.0,939.0,236.0,1930.0,Abbotsford,-37.7659,145.0585,Eastern Metropolitan,1651.0,627,1642.5531914893618
Eaglemont,34 Durham St,3,h,1601000.0,S,Miles,26/07/2016,10.3,3084.0,3.0,1.0,1.0,872.0,136.0,1960.0,Abbotsford,-37.7618,145.0649,Eastern Metropolitan,1651.0,627,1588.2936507936508
Eaglemont,107 Banksia St,3,h,1100000.0,VB,Holland,27/06/2016,10.3,3084.0,3.0,2.0,1.0,555.0,300.0,1988.0,Abbotsford,-37.7585,145.0568,Eastern Metropolitan,1651.0,627,1286.5497076023391
Eaglemont,13 Warne St,4,h,2012000.0,S,Nelson,27/11/2016,10.3,3084.0,4.0,3.0,2.0,597.0,245.0,1940.0,Abbotsford,-37.765,145.0646,Eastern Metropolitan,1651.0,627,2389.5486935866984
Eaglemont,20 Glenard Dr,4,h,2309000.0,S,Nelson,28/08/2016,10.3,3084.0,4.0,3.0,2.0,1177.0,291.0,1960.0,Abbotsford,-37.7652,145.0687,Eastern Metropolitan,1651.0,627,1572.8882833787466
Eaglemont,39 Durham St,4,h,1750000.0,VB,Nelson,20/05/2017,10.3,3084.0,4.0,2.0,2.0,707.0,217.0,1956.0,Abbotsford,-37.762,145.0645,Eastern Metropolitan,1651.0,627,1893.939393939394
Eaglemont,121 The Righi,5,h,2710000.0,PI,Miles,29/04/2017,10.3,3084.0,5.0,3.0,2.0,1001.0,225.0,1930.0,Abbotsford,-37.7605,145.0593,Eastern Metropolitan,1651.0,627,2210.4404567699835
Eaglemont,10 Silverdale Rd,3,h,2270000.0,VB,Miles,17/06/2017,8.9,3084.0,3.0,1.0,2.0,1143.0,291.0,1960.0,Abbotsford,-37.76774,145.05303,Eastern Metropolitan,1651.0,627,1582.9846582984658
Eaglemont,129 Banksia St,3,h,1300000.0,VB,Nelson,8/07/2017,8.9,3084.0,3.0,1.0,2.0,615.0,138.0,1950.0,Abbotsford,-37.75825,145.05438,Eastern Metropolitan,1651.0,627,1726.4276228419656
Eaglemont,104 Studley Rd,3,h,1440000.0,S,Miles,15/07/2017,8.9,3084.0,3.0,1.0,2.0,598.0,116.0,1955.0,Abbotsford,-37.76093,145.056,Eastern Metropolitan,1651.0,627,2016.8067226890757
Eaglemont,36 Silverdale Rd,3,h,1925000.0,S,Nelson,19/08/2017,8.9,3084.0,3.0,2.0,2.0,780.0,290.0,1950.0,Abbotsford,-37.76617,145.05332,Eastern Metropolitan,1651.0,627,1799.0654205607477
Eltham North,99 Weidlich Rd,4,h,925000.0,S,Barry,27/05/2017,18.0,3095.0,4.0,2.0,2.0,796.0,130.88,1995.0,Abbotsford,-37.69771,145.1349,Eastern Metropolitan,2346.0,627,997.9716899706542
Eltham North,28 Weidlich Rd,4,h,792000.0,S,Barry,8/07/2017,18.0,3095.0,4.0,2.0,2.0,836.0,130.88,1980.0,Abbotsford,-37.70115,145.12855,Eastern Metropolitan,2346.0,627,819.1295714049313
Greensborough,44 Manatunga Cct,6,h,990000.0,S,Darren,1/07/2017,16.1,3088.0,6.0,3.0,2.0,562.0,142.0,1962.0,Abbotsford,-37.69749,145.1058,Northern Metropolitan,8524.0,627,1406.25
Greensborough,5 Cam St,3,h,817000.0,S,Ray,3/06/2017,16.1,3088.0,3.0,2.0,1.0,610.0,21.0,1970.0,Abbotsford,-37.71437,145.10112,Northern Metropolitan,8524.0,627,1294.770206022187
Greensborough,178 Henry St,3,h,760000.0,S,Barry,3/06/2017,16.1,3088.0,3.0,1.0,3.0,570.0,142.0,1962.0,Abbotsford,-37.70817,145.10028,Northern Metropolitan,8524.0,627,1067.4157303370787
Greensborough,4 Alexandra St,5,h,1050000.0,VB,Morrison,24/06/2017,16.1,3088.0,5.0,3.0,3.0,616.0,21.0,1960.0,Abbotsford,-37.70557,145.10859,Northern Metropolitan,8524.0,627,1648.3516483516485
Greensborough,67 Alexandra St,3,h,1326000.0,S,Nelson,24/06/2017,16.1,3088.0,3.0,1.0,2.0,1020.0,132.0,1954.0,Abbotsford,-37.70821,145.10405,Northern Metropolitan,8524.0,627,1151.0416666666667
Greensborough,15 Carnon St,3,h,895000.0,S,Morrison,24/06/2017,16.1,3088.0,3.0,2.0,2.0,1036.0,132.0,1954.0,Abbotsford,-37.69538,145.11543,Northern Metropolitan,8524.0,627,766.2671232876712
Greensborough,3 Perrumba St,5,h,880000.0,VB,Barry,24/06/2017,16.1,3088.0,4.0,3.0,2.0,789.0,290.0,1980.0,Abbotsford,-37.69817000000001,145.12852,Northern Metropolitan,8524.0,627,815.5699721964783
Greensborough,22 Yangoora Pl,4,h,925000.0,SP,Nelson,24/06/2017,16.1,3088.0,4.0,2.0,2.0,1070.0,190.0,1980.0,Abbotsford,-37.69999,145.1279,Northern Metropolitan,8524.0,627,734.1269841269841
Greensborough,5 Glenice St,3,h,740000.0,S,Darren,27/05/2017,16.1,3088.0,3.0,1.0,3.0,580.0,142.0,1962.0,Abbotsford,-37.71536,145.10205,Northern Metropolitan,8524.0,627,1024.9307479224376
Greensborough,53 Narbethong Dr,3,h,866000.0,S,hockingstuart,8/07/2017,16.1,3088.0,3.0,2.0,2.0,743.0,147.0,1980.0,Abbotsford,-37.71733,145.09622,Northern Metropolitan,8524.0,627,973.0337078651686
Greensborough,14 Wolangi Ct,4,h,1028000.0,S,Morrison,8/07/2017,16.1,3088.0,4.0,3.0,4.0,925.0,132.0,1955.0,Abbotsford,-37.69261,145.1105,Northern Metropolitan,8524.0,627,972.5638599810785
Greensborough,142 Elder St,3,h,815000.0,S,Nelson,12/08/2017,16.1,3088.0,3.0,2.0,2.0,609.0,168.0,1980.0,Abbotsford,-37.71636,145.09792,Northern Metropolitan,8524.0,627,1048.906048906049
Greensborough,48 Duncan Av,3,h,690000.0,S,Darren,15/07/2017,16.1,3088.0,3.0,1.0,1.0,540.0,142.0,1962.0,Abbotsford,-37.71055,145.09593999999996,Northern Metropolitan,8524.0,627,1011.7302052785924
Greensborough,13 Stowe Av,4,h,800000.0,S,Darren,15/07/2017,16.1,3088.0,4.0,2.0,2.0,626.0,169.0,1960.0,Abbotsford,-37.70859,145.10464,Northern Metropolitan,8524.0,627,1006.2893081761006
Greensborough,54 Warralong Av,3,h,896000.0,S,Fletchers,15/07/2017,16.1,3088.0,3.0,2.0,1.0,653.0,130.0,1970.0,Abbotsford,-37.71846,145.09689,Northern Metropolitan,8524.0,627,1144.316730523627
Greensborough,18 Warruga Pl,3,h,1010000.0,S,Buckingham,15/07/2017,16.1,3088.0,3.0,2.0,2.0,582.0,142.0,1962.0,Abbotsford,-37.71325,145.09532,Northern Metropolitan,8524.0,627,1395.0276243093922
Greensborough,50 Albion Cr,4,h,770000.0,PI,Darren,29/07/2017,16.1,3088.0,4.0,2.0,2.0,789.0,169.0,1975.0,Abbotsford,-37.69646,145.12163,Northern Metropolitan,8524.0,627,803.7578288100209
Greensborough,12 Yangoora Pl,4,h,900000.0,S,Morrison,29/07/2017,16.1,3088.0,4.0,3.0,1.0,807.0,190.0,1975.0,Abbotsford,-37.70077,145.12743,Northern Metropolitan,8524.0,627,902.7081243731194
Heidelberg,22 Almay Gr,3,h,1220000.0,S,Miles,6/08/2016,10.6,3084.0,3.0,1.0,1.0,858.0,136.0,1960.0,Abbotsford,-37.7504,145.0643,Eastern Metropolitan,2890.0,627,1227.364185110664
